"IDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","RETRINOIN","RETRIIN","GEXTRA","VESPNOIN","VESPIN","ANOS2","FACTOTAL"
287,7,6,"I0",1,2,2,2,6,1,"D0",0,7,4,6,1,1,0,0,0,30,0,1800,40,0,0,31,6,0,6,0,1515.41,303.08,0,134.59,0,122.43,104.78,1650,9,0,6,0,6,0,6,0,1,4,14850,0,2668.87,0,0,4,236.87
6669,3,3,"M0",1,2,2,1,1,1,"C0",0,6,0,1,1,1,0,0,2,0,0,1725,40,0,0,31,6,0,6,0,1392.93,0,0,440.4,0,0,116.42,1833.33,3,5,6,0,6,0,6,0,6,0,5805.55,0,0,0,0,2,142.72
24288,3,4,"J0",1,2,2,1,1,1,"C0",0,4,0,6,2,2,0,0,10,0,0,280,8,0,0,31,6,0,6,0,360,0,0,126.66,0,0,22.86,360,8,15,6,0,6,0,6,0,6,0,3229.37,0,0,0,0,2,6.9
1744,2,1,"C8",1,2,3,2,1,1,"P0",0,3,1,1,1,1,0,0,22,0,0,1776,40,0,0,31,6,0,6,0,1572,0,0,166,0,0,110,1738,10,0,6,0,6,0,6,0,6,0,14039,0,0,0,0,3,74.39
18688,10,5,"C7",2,2,2,3,1,1,"D0",0,7,16,2,1,1,0,0,23,0,0,1714,38,15,0,31,6,0,6,0,809.51,1819.58,0,2450.14,0,1008.35,221.92,3494.82,12,0,6,0,6,0,6,0,6,0,40121.26,0,8052.59,29.6,0,4,78.18
22378,3,1,"I0",1,2,1,1,1,2,"G0",0,1,0,5,2,1,0,0,0,32,0,883,12,0,0,31,6,0,6,0,547.72,0,0,0,0,0,37.75,594.37,7,7,6,0,6,0,6,0,6,0,5400.13,0,0,0,0,1,45.29
5532,3,6,"B0",1,2,4,5,6,1,"A0",0,7,7,0,1,1,0,0,22,0,0,1792,40,0,0,31,6,0,6,0,1810.68,0,0,3638.86,0,1397.81,262.85,4139.4,12,0,6,0,6,0,6,0,6,0,58626.02,0,0,6049.96,0,5,7.31
15372,2,5,"O0",1,1,1,1,1,1,"O0",0,3,18,1,1,2,0,0,0,30,5,1826,40,0,0,31,6,0,6,0,612.59,0,0,1095.47,0,209.58,134.71,2072.6,12,0,1,154,6,0,6,0,6,0,16707.54,7556.96,3416.12,0,0,5,189.96
1925,9,1,"F0",3,2,4,2,6,1,"C0",1,7,17,0,1,1,0,0,22,0,3,1736,40,0,0,31,6,0,6,0,2857.14,0,0,0,0,514.29,211.67,3333.33,12,0,6,0,6,0,6,0,6,0,38517.55,0,5445.91,386.14,0,4,13.14
203,3,2,"M0",1,2,2,2,1,1,"C0",0,6,1,0,1,2,0,0,23,0,0,1792,40,0,0,31,6,0,6,0,2205,0,0,0,0,146,125,1971,12,0,6,0,6,0,6,0,6,0,27946,0,0,0,0,2,112.08
